,Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign Traffic,Total_Sessions,Total_Bounces,Total_Duration,Days away from max date,Latest report?,Target_Groups
2316,2022-09-09,,Others,ad1,LinkedIn,,Campaign,1,0,3191,52,0,
2317,2022-09-02,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,6,0,0,59,0,1
2318,2022-06-23,,NaN,NaN,,,General traffic,3008,437,1026564,130,0,
2319,2022-09-01,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,2,0,0,60,0,2
2320,2022-05-01,1,UnfairAdvantage,NaN,LinkedIn,Single image,Campaign,1,0,0,183,0,1
2321,2022-07-28,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,10,0,0,95,0,1
2322,2022-09-10,5,UnfairAdvantage,OnePage,Domain Display,,Campaign,2,0,0,51,0,2
2323,2022-08-09,5,CloserTwins,Faceoff,Domain Display,,Campaign,6,0,0,83,0,2
2324,2022-08-17,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,75,0,2
2325,2022-10-13,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,12,0,2975,18,0,2
2326,2022-10-12,1,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,20,0,0,19,0,1
2327,2022-09-25,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,36,0,1
2328,2022-07-27,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,1041,96,0,3
2329,2022-10-05,2,CloseFaster,FasterAll,User ID Display,,Campaign,10,0,1,26,0,1
2330,2022-10-18,1,UnfairAdvantage,OnePage,User ID Display,,Campaign,12,0,0,13,1,1
2331,2022-09-08,5,CloseFaster,MoreAll,User ID Display,,Campaign,18,0,1,53,0,2
2332,2022-05-11,4,CloserTwins,Cutdown,LinkedIn,Video,Campaign,2,0,0,173,0,2
2333,2022-10-28,5,CloseFaster,FasterAll,User ID Display,,Campaign,22,20,172,3,1,2
2334,2022-10-08,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,6,0,0,23,0,1
2335,2022-10-12,5,UnfairAdvantage,NaN,LinkedIn,Single image,Campaign,1,0,0,19,0,2
2336,2022-09-10,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0,51,0,2
2337,2022-05-23,1,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,0,161,0,1
2338,2022-08-27,4,UnfairAdvantage,OnePage,Domain Display,,Campaign,6,0,0,65,0,2
2339,2022-05-25,5,CloserTwins,interactive,Domain Display,,Campaign,1,0,0,159,0,2
2340,2022-10-20,1,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,11,1,1
2341,2022-05-05,1,CloserTwins,Faceoff,Facebook,Video,Campaign,1,0,0,179,0,1
2342,2022-08-17,3,UnfairAdvantage,OnePage,User ID Display,,Campaign,2,0,0,75,0,1
2343,2022-06-20,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,0,133,0,2
2344,2022-07-27,4,CloserTwins,FasterAll,Domain Display,,Campaign,3,0,0,96,0,2
2345,2022-09-22,4,UnfairAdvantage,NoDTI,User ID Display,,Campaign,10,0,5,39,0,2
2346,2022-09-15,1,UnfairAdvantage,NaN,User ID Display,Single image,Campaign,10,0,0,46,0,1
2347,2022-10-31,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,24,0,350,0,1,2
2348,2022-06-01,1,CloserTwins,CloseMore,Domain Display,,Campaign,1,0,0,152,0,1
2349,2022-05-13,5,UnfairAdvantage,OnePage,LinkedIn,Single image,Campaign,4,0,0,171,0,2
2350,2022-05-11,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,6,0,0,173,0,2
2351,2022-07-23,4,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,4,0,0,100,0,2
2352,2022-09-04,,Others,Others,,,General traffic,15,0,259,57,0,
2353,2022-09-05,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,0,56,0,2
2354,2022-09-27,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,34,0,2
2355,2022-06-13,6,Trade Media Ads,ROS,Trade Media,Housingwire,Campaign,3,0,13,140,0,3
2356,2022-10-19,,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0,12,1,
2357,2022-05-03,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,181,0,1
2358,2022-04-27,5,CloseFaster,MoreAll,Domain Display,,Campaign,1,0,13,187,0,2
2359,2022-09-11,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,18,0,0,50,0,2
2360,2022-06-16,4,CloseFaster,MoreAll,Domain Display,,Campaign,1,0,0,137,0,2
2361,2022-10-18,1,UnfairAdvantage,NaN,Domain Display,Single image,Campaign,1,0,0,13,1,1
2362,2022-08-23,5,CloseFaster,FasterAll,Domain Display,,Campaign,5,0,586,69,0,2
2363,2022-06-09,4,CloserTwins,FasterAll,Domain Display,,Campaign,2,0,0,144,0,2
2364,2022-04-30,4,CloserTwins,CloseMore,Domain Display,,Campaign,2,0,0,184,0,2
2365,2022-04-26,6,Trade Media Ads,Rate Lock,Trade Media,National_mortgage_news,Campaign,4,0,397,188,0,3
